season_label,season,player,nation,age,pos,pos_primary,squad,Matches Played,Minutes_total,market_value_in_eur,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Total Shots,% Shots on target,Shots p 90,Goals p 90,Assists p 90,Goals per shot,Goals per shot on target,Progressive Carries,Progressive Passes,Key passes,1/3,Passes into penalty area,Shot creating actions p 90,Goal creating actions p 90,Possessions lost,Errors made
2019-20,2019-2020,Tammy Abraham,England,21,FW,FW,Chelsea,34,2215,50000000.0,15,3,18,15,0,16.4,16.4,88,39.8,1.42,0.61,0.12,0.17,0.43,31,34,21,17,7,2.32,0.37,42,0
2019-20,2019-2020,Sergio Agüero,Argentina,31,FW,FW,Manchester City,24,1452,65000000.0,16,3,19,14,2,14.5,12.1,73,32.9,1.49,0.99,0.19,0.19,0.58,35,34,18,15,19,3.53,0.43,30,0
2019-20,2019-2020,Michail Antonio,Jamaica,29,FW,FW,West Ham,24,1768,12000000.0,10,3,13,9,1,12.9,12.1,67,44.8,1.53,0.51,0.15,0.13,0.3,53,39,25,18,17,3.61,0.46,45,0
2019-20,2019-2020,Pierre-Emerick Aubameyang,Gabon,30,FW,FW,Arsenal,36,3136,70000000.0,22,3,25,20,2,14.7,13.2,91,44.0,1.15,0.63,0.09,0.22,0.5,98,81,26,25,47,1.98,0.34,31,0
2019-20,2019-2020,Jordan Ayew,Ghana,27,FW,FW,Crystal Palace,37,3148,10000000.0,9,2,11,9,0,7.5,7.5,58,41.4,0.69,0.26,0.06,0.16,0.38,77,60,30,38,21,2.32,0.23,95,0
2019-20,2019-2020,Ashley Barnes,England,29,FW,FW,Burnley,19,1352,10000000.0,6,0,6,5,1,6.2,5.4,39,28.2,0.73,0.4,0.0,0.13,0.45,10,18,5,5,8,1.6,0.2,19,0
2019-20,2019-2020,Christian Benteke,Belgium,28,FW,FW,Crystal Palace,24,1261,13000000.0,2,1,3,2,0,5.1,5.1,41,46.3,1.36,0.14,0.07,0.05,0.11,22,28,19,15,12,3.0,0.43,23,1
2019-20,2019-2020,Dominic Calvert-Lewin,England,22,FW,FW,Everton,36,2626,22000000.0,13,1,14,13,0,15.3,15.3,85,44.7,1.3,0.45,0.03,0.15,0.34,40,50,15,31,14,1.92,0.07,23,0
2019-20,2019-2020,Todd Cantwell,England,21,FW,FW,Norwich City,37,2489,22000000.0,6,2,8,6,0,5.4,5.4,42,38.1,0.58,0.22,0.07,0.14,0.38,75,99,35,76,21,2.71,0.18,48,1
2019-20,2019-2020,Aaron Connolly,Ireland,19,FW,FW,Brighton,24,1258,4500000.0,3,1,4,3,0,4.0,4.0,38,34.2,0.93,0.21,0.07,0.08,0.23,21,10,6,9,2,1.93,0.36,20,0
2019-20,2019-2020,Troy Deeney,England,31,FW,FW,Watford,27,2225,8000000.0,10,2,12,5,5,10.5,5.8,39,41.0,0.65,0.4,0.08,0.13,0.31,12,81,29,51,20,2.59,0.16,26,0
2019-20,2019-2020,Gerard Deulofeu,Spain,25,FW,FW,Watford,28,2098,25000000.0,4,5,9,3,1,6.3,5.5,63,31.7,0.86,0.17,0.21,0.05,0.15,123,63,44,26,28,4.46,0.43,52,0
2019-20,2019-2020,Roberto Firmino,Brazil,27,FW,FW,Liverpool,38,2988,90000000.0,9,8,17,9,0,14.0,14.0,99,38.4,1.14,0.27,0.24,0.09,0.24,90,111,52,74,31,3.43,0.6,39,1
2019-20,2019-2020,Phil Foden,England,19,FW,FW,Manchester City,23,901,30000000.0,5,2,7,5,0,3.3,3.3,34,41.2,1.4,0.5,0.2,0.15,0.36,36,49,18,24,11,5.69,1.1,15,0
2019-20,2019-2020,Anwar El Ghazi,Netherlands,24,FW,FW,Aston Villa,34,2051,10000000.0,4,4,8,3,1,6.2,5.4,51,37.3,0.83,0.18,0.18,0.06,0.16,65,47,30,20,21,2.55,0.26,35,1
2019-20,2019-2020,Olivier Giroud,France,32,FW,FW,Chelsea,18,993,12000000.0,8,0,8,8,0,7.3,7.3,39,48.7,1.72,0.73,0.0,0.21,0.42,6,7,8,7,3,2.17,0.36,8,0
2019-20,2019-2020,Jack Grealish,England,23,FW,FW,Aston Villa,36,3233,35000000.0,8,6,14,8,0,6.8,6.0,72,31.9,0.64,0.22,0.17,0.11,0.35,212,197,91,102,68,5.51,0.5,59,1
2019-20,2019-2020,Mason Greenwood,England,17,FW,FW,Manchester Utd,31,1320,20000000.0,10,1,11,10,0,2.9,2.9,39,51.3,1.36,0.68,0.07,0.26,0.5,32,37,14,18,10,2.73,0.41,15,1
2019-20,2019-2020,Sébastien Haller,Ivory Coast,25,FW,FW,West Ham,32,2266,45000000.0,7,1,8,7,0,8.0,8.0,56,46.4,1.03,0.28,0.04,0.13,0.27,17,59,24,52,13,2.03,0.32,35,0
2019-20,2019-2020,Onel Hernández,cu CUB,26,FW,FW,Norwich City,26,1384,4000000.0,1,2,3,1,0,2.2,2.2,29,27.6,0.52,0.07,0.13,0.03,0.13,72,22,19,6,10,2.93,0.33,36,0
2019-20,2019-2020,Son Heung-min,South Korea,27,FW,FW,Tottenham,30,2476,80000000.0,11,10,21,11,0,8.9,8.0,80,46.3,1.34,0.4,0.36,0.14,0.3,90,71,41,40,25,3.6,0.69,57,1
2019-20,2019-2020,Kelechi Iheanacho,Nigeria,22,FW,FW,Leicester City,20,960,12000000.0,5,3,8,5,0,6.0,6.0,36,55.6,1.87,0.47,0.28,0.14,0.25,22,29,15,12,8,3.47,0.47,21,0
2019-20,2019-2020,Danny Ings,England,27,FW,FW,Southampton,38,2804,22000000.0,22,2,24,21,1,16.2,14.7,91,38.5,1.12,0.71,0.06,0.23,0.6,50,75,35,38,23,3.21,0.48,50,1
2019-20,2019-2020,Daniel James,Wales,21,FW,FW,Manchester Utd,33,2287,28000000.0,3,6,9,3,0,3.1,3.1,42,47.6,0.79,0.12,0.24,0.07,0.15,140,60,26,34,26,2.79,0.35,29,0
2019-20,2019-2020,Gabriel Jesus,Brazil,22,FW,FW,Manchester City,34,2030,70000000.0,14,7,21,14,0,18.2,17.4,100,45.0,2.0,0.62,0.31,0.14,0.31,55,37,32,21,12,3.24,0.49,33,0
2019-20,2019-2020,Raúl Jiménez,Mexico,28,FW,FW,Wolves,38,3236,50000000.0,17,6,23,13,4,16.6,13.4,114,34.2,1.08,0.47,0.17,0.11,0.33,89,102,48,67,25,2.7,0.36,67,1
2019-20,2019-2020,Joelinton,Brazil,22,FW,FW,Newcastle Utd,38,2683,30000000.0,2,2,4,2,0,5.5,5.5,50,30.0,0.5,0.07,0.07,0.04,0.13,47,56,30,38,13,2.38,0.17,60,0
2019-20,2019-2020,Diogo Jota,Portugal,22,FW,FW,Wolves,34,2284,35000000.0,7,1,8,7,0,11.5,11.5,69,37.7,1.02,0.28,0.04,0.1,0.27,131,68,29,41,20,4.02,0.28,57,2
2019-20,2019-2020,Harry Kane,England,26,FW,FW,Tottenham,29,2587,150000000.0,18,2,20,16,2,12.5,10.9,79,44.3,1.22,0.63,0.07,0.2,0.46,46,76,27,52,18,2.12,0.28,32,0
