season_label,season,player,nation,age,pos,pos_primary,squad,Matches Played,Minutes_total,market_value_in_eur,Tackles attempted,Tackles Won,% Dribbles tackled,Interceptions,Clearances,Shots blocked,Passes blocked,% Aerial Duels won,Progressive Carries,Progressive Passes,1/3,Possessions lost,Errors made,Goals,Assists,Goals & Assists
2019-20,2019-2020,Patrick van Aanholt,Netherlands,28,DF,DF,Crystal Palace,29,2507,12000000.0,43,23,46.0,45,52,9,22,50.0,60,143,89,15,1,3,2,5
2019-20,2019-2020,Max Aarons,England,19,DF,DF,Norwich City,36,3240,15000000.0,48,30,50.0,37,97,29,17,31.0,92,78,55,31,1,0,1,1
2019-20,2019-2020,Nathan Aké,Netherlands,24,DF,DF,Bournemouth,29,2503,35000000.0,31,21,60.9,36,152,29,11,49.6,12,81,58,5,0,2,2,4
2019-20,2019-2020,Toby Alderweireld,Belgium,30,DF,DF,Tottenham,33,2957,35000000.0,40,29,45.8,31,172,32,16,50.0,11,96,110,5,2,2,2,4
2019-20,2019-2020,Trent Alexander-Arnold,England,20,DF,DF,Liverpool,38,3175,110000000.0,55,34,46.2,45,84,9,18,33.3,98,247,190,12,3,4,13,17
2019-20,2019-2020,Marcos Alonso,Spain,28,DF,DF,Chelsea,18,1430,32000000.0,28,16,42.4,20,32,2,16,59.2,62,69,39,10,0,4,2,6
2019-20,2019-2020,Serge Aurier,Ivory Coast,26,DF,DF,Tottenham,33,2700,20000000.0,93,69,56.5,47,98,6,32,52.2,66,93,62,28,2,1,5,6
2019-20,2019-2020,César Azpilicueta,Spain,29,DF,DF,Chelsea,36,3229,30000000.0,86,56,50.7,67,94,21,35,59.7,59,193,148,13,0,2,6,8
2019-20,2019-2020,Fabián Balbuena,Paraguay,27,DF,DF,West Ham,17,1177,12000000.0,17,12,36.0,26,75,5,10,59.6,8,35,25,1,3,1,0,1
2019-20,2019-2020,George Baldock,Greece,26,DF,DF,Sheffield Utd,38,3420,6500000.0,62,43,57.4,34,83,3,23,40.0,97,103,66,22,3,2,3,5
2019-20,2019-2020,Phil Bardsley,Scotland,34,DF,DF,Burnley,21,1890,1000000.0,49,36,64.9,30,73,11,13,60.0,23,70,71,3,0,0,1,1
2019-20,2019-2020,Chris Basham,England,31,DF,DF,Sheffield Utd,38,3242,3000000.0,85,48,59.3,77,173,15,23,63.3,32,82,83,8,1,0,1,1
2019-20,2019-2020,Jan Bednarek,Poland,23,DF,DF,Southampton,34,3057,15000000.0,65,38,50.8,77,198,23,21,73.1,4,90,57,1,4,1,1,2
2019-20,2019-2020,Héctor Bellerín,Spain,24,DF,DF,Arsenal,15,1158,40000000.0,20,13,37.9,19,27,4,16,44.8,34,58,39,12,1,1,0,1
2019-20,2019-2020,Ryan Bertrand,England,29,DF,DF,Southampton,32,2742,13000000.0,47,29,44.8,37,31,12,15,50.9,78,130,104,21,1,1,1,2
2019-20,2019-2020,Willy Boly,Ivory Coast,28,DF,DF,Wolves,22,1979,15000000.0,57,33,58.1,39,108,11,17,74.8,4,48,39,4,3,0,1,1
2019-20,2019-2020,Dan Burn,England,27,DF,DF,Brighton,34,2880,5000000.0,67,42,47.2,42,130,20,24,72.6,52,135,114,25,0,0,0,0
2019-20,2019-2020,Sam Byram,England,25,DF,DF,Norwich City,17,1293,3500000.0,40,22,48.6,26,73,8,8,52.4,21,41,24,5,0,0,0,0
