season_label,season,player,nation,age,pos,pos_primary,squad,Matches Played,Minutes_total,market_value_in_eur,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Crosses Stopped
2019-20,2019-2020,Alisson,Brazil,26,GK,GK,Liverpool,29,2543,90000000.0,23,0.81,58,72.5,13,44.8,0.0,3.3
2019-20,2019-2020,Kepa Arrizabalaga,Spain,24,GK,GK,Chelsea,33,2970,60000000.0,47,1.42,54,54.5,8,24.2,0.0,5.8
2019-20,2019-2020,Martin Dúbravka,Slovakia,30,GK,GK,Newcastle Utd,38,3420,7000000.0,58,1.53,139,71.3,11,28.9,0.0,3.1
2019-20,2019-2020,Ederson,Brazil,25,GK,GK,Manchester City,35,3071,70000000.0,28,0.82,68,73.7,16,45.7,0.0,5.4
2019-20,2019-2020,Ben Foster,England,36,GK,GK,Watford,38,3420,1500000.0,64,1.68,116,68.5,9,23.7,11.1,5.2
2019-20,2019-2020,Paulo Gazzaniga,Argentina,27,GK,GK,Tottenham,18,1613,3500000.0,26,1.45,56,72.0,2,11.8,25.0,2.7
2019-20,2019-2020,David de Gea,Spain,28,GK,GK,Manchester Utd,38,3420,60000000.0,36,0.95,96,74.8,13,34.2,0.0,2.0
2019-20,2019-2020,Vicente Guaita,Spain,32,GK,GK,Crystal Palace,35,3150,5000000.0,42,1.2,109,71.8,10,28.6,0.0,3.9
2019-20,2019-2020,Angus Gunn,Scotland,23,GK,GK,Southampton,10,900,8000000.0,25,2.5,30,58.2,2,20.0,0.0,2.9
2019-20,2019-2020,Tom Heaton,England,33,GK,GK,Aston Villa,20,1794,6000000.0,35,1.76,68,68.6,4,20.0,0.0,2.9
2019-20,2019-2020,Dean Henderson,England,22,GK,GK,Sheffield Utd,36,3240,20000000.0,33,0.92,94,75.0,13,36.1,50.0,3.6
2019-20,2019-2020,Tim Krul,Netherlands,31,GK,GK,Norwich City,36,3240,5000000.0,68,1.89,128,66.7,5,13.9,40.0,4.4
2019-20,2019-2020,Bernd Leno,Germany,27,GK,GK,Arsenal,30,2649,35000000.0,39,1.33,111,78.1,7,23.3,14.3,3.6
2019-20,2019-2020,Hugo Lloris,France,32,GK,GK,Tottenham,21,1807,18000000.0,21,1.05,78,80.8,6,28.6,33.3,5.1
2019-20,2019-2020,Alex McCarthy,England,29,GK,GK,Southampton,28,2520,6500000.0,35,1.25,78,69.9,7,25.0,50.0,5.7
2019-20,2019-2020,Rui Patrício,Portugal,31,GK,GK,Wolves,38,3420,20000000.0,40,1.05,88,69.8,13,34.2,66.7,3.8
2019-20,2019-2020,Jordan Pickford,England,25,GK,GK,Everton,38,3420,35000000.0,56,1.47,94,63.9,9,23.7,0.0,4.7
2019-20,2019-2020,Nick Pope,England,27,GK,GK,Burnley,38,3420,12000000.0,50,1.32,117,72.5,15,39.5,20.0,8.3
2019-20,2019-2020,Aaron Ramsdale,England,21,GK,GK,Bournemouth,37,3330,10000000.0,62,1.68,124,69.5,5,13.5,16.7,3.4
2019-20,2019-2020,Pepe Reina,Spain,36,GK,GK,Aston Villa,12,1080,800000.0,20,1.67,32,66.0,2,16.7,33.3,4.8
2019-20,2019-2020,Mathew Ryan,Australia,27,GK,GK,Brighton,38,3420,10000000.0,54,1.42,116,69.0,9,23.7,0.0,3.8
